t,x,y,z
7.1,-0.0096576,0.6772623,0.660422
7.12,-0.0112024,0.6631768,0.6710161
7.14,-0.0128998,0.6495252,0.6819498
7.16,-0.0147568,0.6362906,0.6931946
7.18,-0.0167804,0.6234564,0.7047219
7.2,-0.0189774,0.6110057,0.7165031
7.22,-0.021355,0.5989217,0.7285095
7.24,-0.0239199,0.5871877,0.7407127
7.26,-0.0296399,0.5647023,0.7655947
7.28,-0.0361932,0.5434153,0.7909202
7.3,-0.0436354,0.5231924,0.8164606
7.32,-0.0520223,0.5038993,0.8419871
7.34,-0.0614095,0.4854017,0.8672709
7.36,-0.0718528,0.4675653,0.8920832
7.38,-0.0834078,0.4502558,0.9161953
7.4,-0.0961302,0.433339,0.9393784
7.42,-0.1029466,0.4249859,0.9505501
7.44,-0.1100758,0.4166805,0.9614037
7.46,-0.1175247,0.4084062,0.9719108
7.48,-0.1253002,0.4001461,0.9820426
7.5,-0.1334094,0.3918835,0.9917706
7.52,-0.1418591,0.3836015,1.0010661
7.54,-0.1506564,0.3752834,1.0099007
7.56,-0.1598083,0.3669124,1.0182457
7.58,-0.1693216,0.3584717,1.0260724
7.6,-0.1792033,0.3499445,1.0333524
7.62,-0.1894605,0.341314,1.0400569
7.64,-0.2001,0.3325635,1.0461575
7.66,-0.2111289,0.3236761,1.0516255
7.68,-0.2225521,0.3146354,1.056435
7.7,-0.2343441,0.3054299,1.0606031
7.72,-0.2464545,0.296052,1.0641814
7.74,-0.2588323,0.2864944,1.0672226
7.76,-0.2714265,0.2767496,1.0697794
7.78,-0.2841861,0.2668101,1.0719043
7.8,-0.29706,0.2566687,1.07365
7.82,-0.3229471,0.2357501,1.0762145
7.84,-0.3486794,0.2139345,1.0778938
7.86,-0.3738491,0.1911625,1.0791092
7.88,-0.3980479,0.1673749,1.0802817
7.9,-0.4096557,0.1550818,1.0809835
7.92,-0.4208678,0.1425124,1.0818326
7.94,-0.4316331,0.1296595,1.0828814
7.96,-0.4419007,0.1165157,1.0841828
7.98,-0.4516194,0.1030734,1.0857892
8,-0.4607384,0.0893254,1.0877535
